timestamp,asset,option_id,strike,expiry,delta,gamma,theta,vega,rho,implied_vol
2024-01-01 10:00:00,Bitcoin,BTC-CALL-45000,45000,2024-03-01,0.65,0.0012,0.050,0.32,0.18,0.25
2024-01-02 10:00:00,Bitcoin,BTC-CALL-45000,45000,2024-03-01,0.68,0.0011,0.045,0.35,0.19,0.26
2024-01-03 10:00:00,Bitcoin,BTC-CALL-45000,45000,2024-03-01,0.70,0.0010,0.040,0.38,0.20,0.27
2024-01-04 10:00:00,Bitcoin,BTC-CALL-45000,45000,2024-03-01,0.72,0.0009,0.035,0.40,0.21,0.28
2024-01-05 10:00:00,Bitcoin,BTC-CALL-45000,45000,2024-03-01,0.74,0.0008,0.030,0.42,0.22,0.29
2024-01-01 10:00:00,Ethereum,ETH-CALL-2500,2500,2024-03-01,0.62,0.0015,0.055,0.28,0.16,0.30
2024-01-02 10:00:00,Ethereum,ETH-CALL-2500,2500,2024-03-01,0.65,0.0014,0.050,0.31,0.17,0.31
2024-01-03 10:00:00,Ethereum,ETH-CALL-2500,2500,2024-03-01,0.67,0.0013,0.045,0.34,0.18,0.32
2024-01-04 10:00:00,Ethereum,ETH-CALL-2500,2500,2024-03-01,0.69,0.0012,0.040,0.36,0.19,0.33
2024-01-05 10:00:00,Ethereum,ETH-CALL-2500,2500,2024-03-01,0.71,0.0011,0.035,0.38,0.20,0.34
